time,x,y
1789342045.0081105,3703,4414
1789342045.0201306,3558,4414
1789342045.0331776,3397,4411
1789342045.0442104,3272,4399
1789342045.0572388,3127,4379
1789342045.0682755,3007,4360
1789342045.0803113,2909,4340
1789342045.0933084,2820,4321
1789342045.1044073,2727,4294
1789342045.116417,2633,4266
1789342045.1284595,2555,4231
1789342045.1404958,2477,4196
1789342045.153534,2394,4153
1789342045.164563,2316,4107
1789342045.1776032,2244,4064
1789342045.1886063,2176,4021
1789342045.20068,2109,3974
1789342045.2137194,2015,3888
1789342045.22475,1937,3806
1789342045.237791,1870,3736
1789342045.2488172,1812,3670
1789342045.2608597,1755,3596
1789342045.2728927,1703,3518
1789342045.2848985,1646,3397
1789342045.2969706,1615,3319
1789342045.308971,1594,3261
1789342045.3210437,1574,3214
1789342045.334082,1558,3167
1789342045.3451147,1548,3113
1789342045.3581555,1532,3015
1789342045.3691893,1527,2933
1789342045.3812156,1527,2859
1789342045.3942645,1527,2793
1789342045.4052951,1542,2719
1789342045.418322,1563,2602
1789342045.4293938,1584,2509
1789342045.4414268,1610,2446
1789342045.4534338,1641,2396
1789342045.465422,1677,2345
1789342045.4784694,1724,2290
1789342045.489511,1781,2220
1789342045.5015204,1838,2131
1789342045.5145671,1890,2060
1789342045.525506,1942,2006
1789342045.5385082,1989,1963
1789342045.5495882,2041,1924
1789342045.5616608,2103,1877
1789342045.5746489,2181,1827
1789342045.5857213,2264,1776
1789342045.598791,2353,1721
1789342045.6099002,2457,1655
1789342045.621937,2571,1593
1789342045.6349692,2675,1546
1789342045.6460123,2779,1507
1789342045.659055,2877,1476
1789342045.6700897,2966,1448
1789342045.6821275,3054,1425
1789342045.695171,3142,1406
1789342045.7061918,3241,1390
1789342045.719232,3340,1378
1789342045.7302547,3423,1371
1789342045.742311,3501,1363
1789342045.755327,3579,1359
1789342045.7663105,3677,1359
1789342045.77943,3750,1359
1789342045.790456,3828,1363
1789342045.8024995,3911,1371
1789342045.8155391,4000,1382
1789342045.826568,4088,1394
1789342045.8396163,4171,1410
1789342045.8506532,4249,1425
1789342045.8626933,4322,1448
1789342045.8757377,4389,1468
1789342045.8867679,4467,1491
1789342045.8998125,4529,1523
1789342045.9108496,4587,1550
1789342045.9228961,4649,1585
1789342045.935937,4711,1620
1789342045.946962,4774,1655
1789342045.9600062,4831,1690
1789342045.9710498,4893,1733
1789342045.983092,4961,1780
1789342045.996134,5038,1846
1789342046.007164,5122,1932
1789342046.0202,5189,1994
1789342046.0311942,5246,2053
1789342046.04328,5298,2103
1789342046.0553136,5345,2158
1789342046.067352,5397,2236
1789342046.0804245,5438,2306
1789342046.0914505,5475,2368
1789342046.1035109,5511,2442
1789342046.1155002,5542,2520
1789342046.127534,5563,2575
1789342046.139575,5579,2622
1789342046.1515908,5589,2664
1789342046.1636527,5600,2715
1789342046.1766949,5610,2766
1789342046.1877346,5615,2832
1789342046.2007623,5615,2906
1789342046.211806,5610,2996
1789342046.223846,5600,3085
1789342046.2358718,5589,3156
1789342046.247921,5579,3218
1789342046.260954,5558,3288
1789342046.2720032,5537,3343
1789342046.2840414,5522,3393
1789342046.2970855,5501,3444
1789342046.308111,5470,3510
1789342046.3211515,5444,3565
1789342046.3321867,5418,3619
1789342046.3442311,5376,3690
1789342046.3572767,5329,3752
1789342046.3682947,5267,3818
1789342046.3813543,5194,3884
1789342046.3923404,5122,3958
1789342046.4044416,5059,4021
1789342046.41747,4997,4071
1789342046.428496,4909,4122
1789342046.441528,4716,4227
1789342046.452566,4566,4301
1789342046.4646025,4436,4375
1789342046.4776342,4316,4434
1789342046.48867,4207,4477
1789342046.5017152,4114,4508
1789342046.51274,4010,4531
1789342046.5247774,3916,4551
1789342046.5378218,3828,4563
1789342046.548852,3729,4574
1789342046.5618556,3636,4582
1789342046.5728893,3568,4586
1789342046.584964,3527,4586
1789342046.5979865,3501,4586
